SampleID	Locus	Reads	OutputDada2	OutputPostprocessing
DC3-1_S43_L001	Pf3D7_05_v3-615379-615678-2	2913	2827	0
DC3-1_S43_L001	Pf3D7_06_v3-857454-857753-2	20	20	0
DC3-1_S43_L001	Pf3D7_08_v3-1365750-1365999-2	5431	5392	5392
DC3-1_S43_L001	Pf3D7_08_v3-1366575-1366822-2	4521	4431	4431
DC3-1_S43_L001	Pf3D7_08_v3-1370814-1371045-2	3547	3415	3415
DC3-1_S43_L001	Pf3D7_08_v3-1375205-1375450-2	155	151	151
DC3-1_S43_L001	Pf3D7_08_v3-1386786-1387035-2	196	194	194
DC3-1_S43_L001	Pf3D7_11_v3-1902041-1902278-2	8164	7974	7974
DC3-1_S43_L001	Pf3D7_11_v3-1950431-1950680-2	6023	5859	5859
DC3-1_S43_L001	Pf3D7_11_v3-1968050-1968296-2	8646	8428	8428
DC3-1_S43_L001	Pf3D7_11_v3-2001725-2001999-2	4330	4196	4196
DC3-1_S43_L001	Pf3D7_13_v3-2770591-2770863-2	3790	3686	3686
DC3-1_S43_L001	Pf3D7_13_v3-2814583-2814832-2	5416	5325	5325
DC3-1_S43_L001	Pf3D7_13_v3-2840447-2840746-2	2529	2449	0
DC3-1_S43_L001	Pf3D7_03_v3-221295-221532-2	6923	6716	6716
DC3-1_S43_L001	Pf3D7_03_v3-980853-981120-2	3226	3185	3185
DC3-1_S43_L001	Pf3D7_04_v3-1083299-1083563-2	4864	4767	4767
DC3-1_S43_L001	Pf3D7_04_v3-748585-748822-2	2613	2584	2584
DC3-1_S43_L001	Pf3D7_07_v3-403487-403750-2	5646	5495	5495
DC3-1_S43_L001	Pf3D7_07_v3-405517-405773-2	4293	4229	4229
DC3-1_S43_L001	Pf3D7_08_v3-550057-550318-2	4521	4451	4451
DC3-1_S43_L001	Pf3D7_12_v3-2092654-2092884-2	6642	6490	6490
DC3-1_S43_L001	Pf3D7_13_v3-1725124-1725365-2	3652	3537	3537
DC3-1_S43_L001	Pf3D7_13_v3-1725379-1725652-2	2249	2202	2202
DC3-1_S43_L001	Pf3D7_13_v3-1725887-1726123-2	2664	2597	2597
DC3-1_S43_L001	Pf3D7_13_v3-1726174-1726408-2	4635	4568	4568
DC3-1_S43_L001	Pf3D7_14_v3-294503-294768-2	1947	1873	1873
Dd2-1_S27_L001	Pf3D7_01_v3-145388-145662-1A	15	15	15
Dd2-1_S27_L001	Pf3D7_01_v3-162867-163115-1A	65	64	64
Dd2-1_S27_L001	Pf3D7_01_v3-181512-181761-1A	37	37	37
Dd2-1_S27_L001	Pf3D7_01_v3-455794-456054-1A	16	15	15
Dd2-1_S27_L001	Pf3D7_01_v3-528859-529104-1A	240	237	237
Dd2-1_S27_L001	Pf3D7_01_v3-535965-536239-1A	31	30	30
Dd2-1_S27_L001	Pf3D7_02_v3-290580-290821-1A	140	138	138
Dd2-1_S27_L001	Pf3D7_02_v3-291770-292017-1A	90	88	88
Dd2-1_S27_L001	Pf3D7_02_v3-470437-470709-1A	20	20	20
Dd2-1_S27_L001	Pf3D7_02_v3-503040-503288-1A	149	145	145
Dd2-1_S27_L001	Pf3D7_02_v3-628941-629172-1A	80	77	77
Dd2-1_S27_L001	Pf3D7_02_v3-630641-630907-1A	49	49	49
Dd2-1_S27_L001	Pf3D7_03_v3-85507-85756-1A	37	37	37
Dd2-1_S27_L001	Pf3D7_03_v3-515418-515657-1A	176	175	175
Dd2-1_S27_L001	Pf3D7_03_v3-653961-654206-1A	46	44	44
Dd2-1_S27_L001	Pf3D7_03_v3-855426-855697-1A	48	48	48
Dd2-1_S27_L001	Pf3D7_03_v3-891553-891827-1A	26	26	26
Dd2-1_S27_L001	Pf3D7_04_v3-109939-110184-1A	41	41	41
Dd2-1_S27_L001	Pf3D7_04_v3-115455-115684-1A	66	66	66
Dd2-1_S27_L001	Pf3D7_04_v3-133581-133830-1A	51	51	51
Dd2-1_S27_L001	Pf3D7_04_v3-133928-134154-1A	183	179	179
